time,ProvidenciaExampleScenario.manager.realtime
0,0
27060,35
27120,41
27180,52
27240,66
27300,82
27360,99
27420,117
27480,136
27540,154
27600,175
27660,196
27720,218
27780,238
27840,258
27900,279
27960,304
28020,329
28080,354
28140,381
28200,407
28260,436
28320,467
28380,499
28440,535
28500,573
28560,615
28620,657
28680,703
28740,753
28800,806
28860,861
28920,921
28980,982
29040,1047
29100,1114
29160,1184
29220,1255
29280,1327
29340,1398
29400,1472
29460,1546
29520,1624
29580,1703
29640,1784
29700,1870
29760,1956
29820,2041
29880,2131
29940,2225
30000,2319
30060,2416
30120,2517
30180,2619
30240,2723
30300,2833
30360,2952
30420,3078
30480,3207
30540,3343
30600,3486
30660,3638
30720,3795
30780,3965
30840,4143
30900,4329
30960,4526
31020,4735
31080,4955
31140,5184
31200,5421
31260,5670
31320,5933
31380,6208
31440,6491
31500,6778
31560,7077
31620,7384
31680,7699
31740,8018
31800,8353
31860,8696
31920,9041
31980,9393
32040,9753
32100,10119
32160,10488
32220,10866
32280,11248
32340,11638
32400,12030
32460,12424
32520,12817
32580,13212
32640,13611
32700,14011
32760,14421
32820,14830
32880,15249
32940,15675
33000,16181
33060,16601
33120,17023
33180,17446
33240,17867
33300,18294
33360,18724
33420,19157
33480,19589
33540,20021
33600,20450
33660,20880
33720,21308
33780,21738
33840,22159
33900,22580
33960,23003
34020,23428
34080,23852
34140,24282
34200,24718
