time,ProvidenciaExampleScenario.manager.vehiclesinsim
0,0
27060,192
27120,319
27180,393
27240,468
27300,466
27360,517
27420,491
27480,542
27540,513
27600,576
27660,555
27720,571
27780,526
27840,573
27900,554
27960,623
28020,620
28080,644
28140,662
28200,703
28260,707
28320,760
28380,771
28440,826
28500,867
28560,903
28620,921
28680,1011
28740,1062
28800,1104
28860,1163
28920,1219
28980,1194
29040,1249
29100,1213
29160,1279
29220,1241
29280,1277
29340,1244
29400,1294
29460,1280
29520,1355
29580,1330
29640,1401
29700,1394
29760,1429
29820,1462
29880,1520
29940,1502
30000,1556
30060,1555
30120,1585
30180,1600
30240,1673
30300,1729
30360,1810
30420,1826
30480,1907
30540,1926
30600,1997
30660,2005
30720,2063
30780,2066
30840,2129
30900,2131
30960,2192
31020,2224
31080,2303
31140,2322
31200,2399
31260,2435
31320,2517
31380,2541
31440,2599
31500,2610
31560,2668
31620,2685
31680,2734
31740,2746
31800,2807
31860,2833
31920,2878
31980,2899
32040,2947
32100,2942
32160,2968
32220,2980
32280,3016
32340,3016
32400,3058
32460,3038
32520,3056
32580,3045
32640,3085
32700,3070
32760,3112
32820,3106
32880,3135
32940,3120
33000,3147
33060,3119
33120,3142
33180,3114
33240,3135
33300,3133
33360,3154
33420,3131
33480,3144
33540,3143
33600,3151
33660,3159
33720,3166
33780,3156
33840,3159
33900,3163
33960,3169
34020,3161
34080,3176
34140,3173
34200,3195
